subject_id||video_interface||stereo_reception_system||stand_design||weight||package_width||3d_technology||stand||supported_computer_resolution||viewable_size||timer_functions||series||voltage||model||yearly_consumption||connectivity||dimensions_with_stand||depth||speakers_type||brand||tv_tuner||dimensions_without_stand||response_time||commercial_features||channel_lock||image_contrast||warranty||batteries_included||audio_surround||package_height||compatible_channels||analog_tv_tuner||24p_technology||digital_tv_tuner||widescreen_modes||brightness||stand_color||dlna||3d||mpn||supported_audio_formats||total_size||wattage_standby||motion_enhancement_technology||viewing_angle||supported_video_formats||package_weight||image_aspect_ratio||usb_ports||product_gtin||display_type||internet_services||remote_control_model||package_depth||refresh_rate||wifi_protocol||memory||width||digital_audio_format||display_resolution||hdcp_compatability||speakers_qty||wattage_operational||product_type||height||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||computer_operating_system||pc_interface||color||closed_caption_capability||input_video_formats||hdmi_ports||supported_languages||supported_memory_cards||secondary_audio_program||backlight_technology||supported_picture_formats||builtin_dvd_player||
http://dws.products.catalog/ffb91137-2582-4d41-ac9a-91467078e086||component, composite, hdmi||||tabletop||19.6 lbs||43.5 in||||||||40 in||sleep, wake||eh5300||ac 120 v ( 60 hz )||un40eh5300||||lan||||3.7 in||2 x main channel speaker - built-in - 10 watt||samsung||||||||||||||||||yes||25.2 in||||ntsc||||atsc, qam||||||||||||un40eh5300||||40 in||||120 hz clear motion rate||||||29.5 lbs||||yes , 2 port(s)||00036725236943, 00794504962550||1080p (fullhd)||smart hub, social tv||samsung tm1250||6.5 in||||||||36.5 in||dts digital output, dolby digital plus output, dolby pulse output||1920 x 1080||yes||2 speakers||||led-backlit lcd tv - smart tv||21.7 in||<http://schema.org/Product>||||||black||||||3 port(s)||english, french, spanish||||yes||led backlight||||||
http://dws.products.catalog/42fb2cef-1755-4d90-8daf-5619599d1a5c||composite, hdmi||||||2.9 lbs||||||yes||||||sleep||tde||ac 120/230 v ( 50/60 hz )||tde1384b||||||12.5 in x 4.6 in x 10.4 in||4.6 in||2 x main channel speaker - built-in||gpx||||12.5 in x 1.9 in x 9.6 in||8 ms||||yes||3000:1||||yes||||||||ntsc||||atsc||conventional 4:3, zoom, 16:9, cinema||230 cd/m2||||||||tde1384b||||13.3 in||||||90 degrees||||||16:9||1 port(s)||||720p||||||||||||||12.5 in||||1366 x 768||yes||2||||led-backlit lcd tv||10.4 in||<http://schema.org/Product>||||vga (hd-15)||||yes||720p, 1080i, 1080p||1 port(s)||||multimediacard, memory stick, sd memory card||||led backlight||||yes||
http://dws.products.catalog/53f82ac7-74c4-4b97-b651-5a5368492c6b||component, composite, hdmi||||tabletop||||||||||||18.5 in||sleep||tde||ac 120/230 v ( 50/60 hz )||tde1982b||||||||||2 x main channel speaker - built-in||gpx||1x analog, 1x digital||||6.5 ms||||||||1 year warranty||||||||||ntsc||||atsc||||450 cd/m2||||||||tde1982b||mp3||19 in||||||176 degrees||||||16:9||yes , 1 port(s)||00047323019821||720p||||||||||||||||||1366 x 768||||2 speakers||||led-backlit lcd tv||||<http://schema.org/Product>||||vga (hd-15)||black||yes||720p, 1080i, 1080p||1 port(s)||||multimediacard, memory stick, sd memory card||||led backlight||jpg||||
http://dws.products.catalog/cfbcc730-6029-43ec-9f2c-63a2dbd94ad5||component, composite, hdmi||||tabletop||17.7 lbs||40.5 in||||||||40 in||||ju6700||ac 120 v ( 60 hz )||un40ju6700||||wi-fi, lan||||4.1 in||||samsung||||||||||||||||||yes||23.5 in||||||||atsc, qam||||||brushed silver||||||un40ju6700||||40 in||0.3 watt||120 clear motion rate||||||27.1 lbs||||yes , 3 ports||00887276088334||4k uhdtv (2160p)||smart hub||samsung tm1560a||6.8 in||||||||36.2 in||dolby digital output, dts digital output||3840 x 2160||yes||2 speakers||125 watt||curved led-backlit lcd tv - smart tv||21 in||<http://schema.org/Product>||||||||yes||||4 ports||english, french, spanish||||||led backlight||||||
http://dws.products.catalog/886c8b26-bd33-40c0-a00e-9d8ea5a91870||component, composite, hdmi||mts||tabletop||104.3 lbs||72.6 in||active||||1024 x 768 (xga), 640 x 480 (vga), 800 x 600 (svga), 1280 x 768 (wxga), 1280 x 1024 (sxga), 1360 x 768, 1920 x 1080, 3840 x 2160||65 in||sleep, wake||x930c||ac 120 v ( 60 hz )||xbr65x930c||64.5 in||wi-fi, lan||||3.5 in||2 x tweeter - built-in - 12.5 watt 2 x woofer - built-in - 12.5 watt 2 x subwoofer - built-in - 20 watt||sony||1x analog/digital combo||||||hotel mode, demo mode||yes||||1 year warranty||||yes||38.3 in||vhf:2-13, uhf:14-69, cable:1-135||ntsc||24p true cinema||atsc, qam||conventional 4:3, auto wide, full, wide zoom, zoom, normal||||silver mirror||||yes ( 3d glasses (2pcs) included )||xbr-65x930c/us||mp3, wma, wav, flac (free lossless audio codec)||65 in||0.5 watt||motionflow xr 1440 technology||178 degrees||mpeg-1, mpeg-2, mpeg-4, motion-jpeg, xvid, wmv, avi, mkv, mov, avchd, ts, 3gpp, ps, webm||127.9 lbs||16:9||yes , 3 port(s)||00027242887916||4k uhdtv (2160p)||||sony rmf-tx100u||8.6 in||||802.11b, 802.11g, 802.11n, 802.11a, 802.11ac||||67.2 in||dolby digital output, dts digital output, dolby digital plus output, dolby pulse output||3840 x 2160||yes||2 woofers, 2 tweeters, 2 subwoofers||299 watt||led-backlit lcd tv - smart tv||34.3 in||<http://schema.org/Product>||android tv||mobile high-definition link (mhl)||black||yes||1080/24p, 1080/60i, 480/60p, 720/60p, 1080/60p, 1080/30p, 480/60i, 2160/24p, 2160/30p, 720/24p, 720/30p, 2160/60p||4 port(s)||english, french, spanish||||yes||led backlight - edge-lit, local dimming||jpg, raw||||
http://dws.products.catalog/f8ad43ea-10d4-487b-b467-882a63d6f988||component, composite, hdmi||||||19.4 lbs||||||yes||||42.5 in||sleep||d43||ac 120 v ( 60 hz )||d43-c1||||||38 in x 8.3 in x 24.5 in||2.5 in||2 x main channel speaker - built-in||vizio||||38 in x 2.5 in x 22.4 in||||||yes||||1 year||||||||||||||||zoom, normal, panorama, wide, stretch||||||||||d43-c1||mp3||43 in||0.5 watt||120hz effective refresh rate||178 degrees||||||16:9||1 port(s)||00845226012235||1080p (fullhd)||||vizio xrt010||||120hz||||||38 in||dolby digital output||1920 x 1080||yes||2||46 watt||led-backlit lcd tv||22.4 in||<http://schema.org/Product>||||||||yes||||2 port(s)||english, french, spanish||||||led backlight - direct-lit led||jpg||||
http://dws.products.catalog/bfe608ca-ebcf-4b35-b9c9-d6aefc89d156||component, composite, hdmi||||tabletop||39.7 lbs||58.8 in||||||||54.6 in||||j6200a||ac 120 v ( 60 hz )||un55j6200a||||wi-fi, lan||||3.7 in||2 x main channel speaker - built-in - 10 watt||samsung||||||||||||||1 year warranty||||yes||33 in||||||||atsc, qam||||||black||yes||||un55j6200afxza||||55 in||||120 clear motion rate||||||57.3 lbs||||yes , 2 port(s)||00887276062013||1080p (fullhd)||||samsung tm1240a||6.7 in||||802.11n||||49.3 in||dts-hd high resolution audio digital output||1920 x 1080||yes||2 speakers||128 watt||led-backlit lcd tv - smart tv||28.7 in||<http://schema.org/Product>||||||||||||2 port(s)||english, french, spanish||||||led backlight||||||
http://dws.products.catalog/a28abd54-c92a-4736-9f54-303b9b274374||component, composite, hdmi||||tabletop||52.7 lbs||65.8 in||||||||64.5 in||||ju7100||ac 120 v ( 60 hz )||un65ju7100||||wi-fi, lan||||2.7 in||2 x main channel speaker - built-in - 10 watt||samsung||1x analog, 1x digital||||||||||||||||yes||37.5 in||||||||atsc, qam||||||brushed silver||yes||yes||un65ju7100fxza||||65 in||0.3 watt||240 clear motion rate||||||76.3 lbs||||yes , 3 port(s)||00887276094588||4k uhdtv (2160p)||smart hub||samsung tm1560a||7.3 in||||802.11ac||||57.6 in||dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||265 watt||led-backlit lcd tv - smart tv||33.2 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||yes||||4 port(s)||english, french, spanish||||||led backlight - local dimming||||||
http://dws.products.catalog/5e0571c3-2aa0-43f9-ba98-c28363d10089||component, composite, hdmi||||tabletop||33.07 lbs||55.8 in||||||||54.6 in||||ju6500||ac 120 v ( 60 hz )||un55ju6500||||wi-fi, lan||||2.5 in||||samsung||||||||||||||1 year warranty||||yes||32.1 in||||||||atsc, qam||||||black, glossy black deco||yes||||un55ju6500||||55 in||0.3 watt||120 clear motion rate||||||47.2 lbs||||yes , 3 ports||00087276075659, 00887276075655||4k uhdtv (2160p)||smart hub||samsung tm1260c||6.1 in||||||||48.8 in||dolby digital output, dts digital output, dolby digital plus output||3840 x 2160||yes||2 speakers||191 watt||led-backlit lcd tv - smart tv||28.3 in||<http://schema.org/Product>||||||||yes||||4 ports||english, french, spanish||||||led backlight||||||
http://dws.products.catalog/bc35216c-c8ca-40a7-b867-bf5a390816f8||component, composite, hdmi||||tabletop||16.75 lbs||43.7 in||||yes||||40 in||||ju6400||ac 120 v ( 60 hz )||un40ju6400||||wi-fi, lan||12.5 in x 7.7 in x 23.3 in||1.9 in||2 x main channel speaker - built-in - 10 watt||samsung||||12.5 in x 1.9 in x 21.1 in||||||||||||||yes||25.4 in||||||||atsc, qam||||||||yes||||un40ju6400fxza||||40 in||0.3 watt||60 hz refresh rate||||||23.4 lbs||||2 port(s)||00887276069623||4k uhdtv (2160p)||||samsung tm1240a||5.3 in||60 hz||||||12.5 in||dts digital output, dolby digital plus output||3840 x 2160||yes||2||120 watt||led-backlit lcd tv - smart tv||21.1 in||<http://schema.org/Product>||||mobile high-definition link (mhl)||black||||||3 port(s)||english, french, spanish||||||led backlight||||||
